team_abbreviation,game_date,wl,min,pts,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,over_100
GSW,2024-04-07,W,241,118,49,92,0.533,14,35,0.4,6,6,1.0,S
CHA,2024-04-07,L,241,118,45,83,0.542,17,40,0.425,11,14,0.786,S
CLE,2024-04-07,L,240,118,42,88,0.477,11,30,0.367,23,27,0.852,S
BKN,2024-04-07,L,239,77,30,86,0.349,7,30,0.233,10,13,0.769,N
UTA,2024-04-07,L,238,110,39,83,0.47,15,35,0.429,17,21,0.81,S
SAC,2024-04-07,W,241,107,40,94,0.426,15,48,0.313,12,16,0.75,S
LAC,2024-04-07,W,238,120,41,84,0.488,14,35,0.4,24,24,1.0,S
POR,2024-04-07,L,240,107,40,102,0.392,14,38,0.368,13,13,1.0,S
DAL,2024-04-07,W,264,147,46,85,0.541,15,39,0.385,40,45,0.889,S
WAS,2024-04-07,L,239,122,42,89,0.472,16,40,0.4,22,30,0.733,S
ORL,2024-04-07,W,237,113,42,90,0.467,11,34,0.324,18,19,0.947,S
CHI,2024-04-07,L,240,98,38,75,0.507,6,20,0.3,16,22,0.727,N
SAS,2024-04-07,L,292,126,44,98,0.449,16,44,0.364,22,26,0.846,S
OKC,2024-04-07,W,240,121,45,87,0.517,18,36,0.5,13,17,0.765,S
MIL,2024-04-07,L,239,109,35,75,0.467,12,34,0.353,27,32,0.844,S
PHX,2024-04-07,L,240,105,39,87,0.448,14,39,0.359,13,14,0.929,S
TOR,2024-04-07,W,241,130,49,96,0.51,11,31,0.355,21,28,0.75,S
MIN,2024-04-07,W,240,127,50,97,0.515,15,39,0.385,12,14,0.857,S
LAL,2024-04-07,L,241,117,39,84,0.464,11,31,0.355,28,32,0.875,S
NYK,2024-04-07,W,239,122,45,92,0.489,14,29,0.483,18,22,0.818,S
DET,2024-04-06,L,241,103,42,92,0.457,17,39,0.436,2,4,0.5,S
DEN,2024-04-06,W,241,142,53,88,0.602,23,41,0.561,13,16,0.813,S
ATL,2024-04-06,L,240,110,37,87,0.425,12,37,0.324,24,29,0.828,S
LAL,2024-04-06,W,240,116,45,80,0.563,16,37,0.432,10,16,0.625,S
MEM,2024-04-06,L,238,96,36,87,0.414,9,26,0.346,15,21,0.714,N
PHI,2024-04-06,W,240,116,41,79,0.519,16,39,0.41,18,23,0.783,S
CLE,2024-04-06,L,243,97,39,90,0.433,11,35,0.314,8,12,0.667,N
BKN,2024-04-06,W,239,113,38,73,0.521,11,27,0.407,26,33,0.788,S
POR,2024-04-05,W,239,108,41,94,0.436,9,29,0.31,17,24,0.708,S
IND,2024-04-05,W,241,126,46,88,0.523,15,35,0.429,19,21,0.905,S
TOR,2024-04-05,W,240,117,36,79,0.456,14,36,0.389,31,36,0.861,S
NYK,2024-04-05,L,241,100,36,83,0.434,10,29,0.345,18,24,0.75,N
ORL,2024-04-05,L,240,115,42,94,0.447,9,38,0.237,22,26,0.846,S
SAC,2024-04-05,L,240,100,38,99,0.384,17,51,0.333,7,13,0.538,N
MIA,2024-04-05,W,239,119,44,89,0.494,13,36,0.361,18,21,0.857,S
CHA,2024-04-05,W,240,124,43,72,0.597,15,30,0.5,23,23,1.0,S
SAS,2024-04-05,W,240,111,42,83,0.506,17,46,0.37,10,13,0.769,S
WAS,2024-04-05,L,241,102,38,88,0.432,5,33,0.152,21,30,0.7,S
HOU,2024-04-05,L,239,104,34,90,0.378,14,44,0.318,22,25,0.88,S
MIN,2024-04-05,L,240,87,33,85,0.388,10,29,0.345,11,14,0.786,N
MIL,2024-04-05,L,240,111,41,94,0.436,12,42,0.286,17,21,0.81,S
DET,2024-04-05,L,239,90,32,79,0.405,8,30,0.267,18,24,0.75,N
GSW,2024-04-05,L,239,106,41,93,0.441,12,35,0.343,12,18,0.667,S
NOP,2024-04-05,L,240,109,44,86,0.512,9,29,0.31,12,12,1.0,S
MEM,2024-04-05,W,240,108,42,90,0.467,10,31,0.323,14,16,0.875,S
DAL,2024-04-05,W,239,108,40,84,0.476,12,34,0.353,16,21,0.762,S
UTA,2024-04-05,L,239,102,35,91,0.385,9,30,0.3,23,29,0.793,S
BOS,2024-04-05,W,239,101,38,89,0.427,12,44,0.273,13,18,0.722,S
CHI,2024-04-05,W,239,108,44,93,0.473,7,23,0.304,13,16,0.813,S
LAC,2024-04-05,W,240,131,51,91,0.56,13,35,0.371,16,18,0.889,S
PHX,2024-04-05,W,240,97,33,76,0.434,9,26,0.346,22,29,0.759,N
OKC,2024-04-05,L,240,112,42,86,0.488,8,30,0.267,20,24,0.833,S
PHI,2024-04-04,W,239,109,43,92,0.467,14,40,0.35,9,11,0.818,S
HOU,2024-04-04,L,241,110,36,86,0.419,12,40,0.3,26,30,0.867,S
LAC,2024-04-04,W,240,102,34,90,0.378,7,33,0.212,27,32,0.844,S
ATL,2024-04-04,L,239,95,34,85,0.4,13,38,0.342,14,21,0.667,N
SAC,2024-04-04,L,241,109,42,86,0.488,18,42,0.429,7,12,0.583,S
MIA,2024-04-04,L,241,105,39,94,0.415,13,43,0.302,14,16,0.875,S
DEN,2024-04-04,L,242,100,36,83,0.434,11,35,0.314,17,25,0.68,N
DAL,2024-04-04,W,241,109,38,94,0.404,18,49,0.367,15,17,0.882,S
NYK,2024-04-04,W,241,120,44,80,0.55,12,28,0.429,20,29,0.69,S
GSW,2024-04-04,W,241,133,47,80,0.588,17,35,0.486,22,25,0.88,S
MIN,2024-04-03,W,240,133,49,96,0.51,20,43,0.465,15,22,0.682,S
NOP,2024-04-03,L,239,108,36,76,0.474,12,29,0.414,24,28,0.857,S
WAS,2024-04-03,L,241,120,45,91,0.495,18,42,0.429,12,13,0.923,S
OKC,2024-04-03,L,238,100,35,81,0.432,5,24,0.208,25,28,0.893,N
POR,2024-04-03,W,241,89,37,93,0.398,7,26,0.269,8,12,0.667,N
DET,2024-04-03,L,240,113,43,94,0.457,10,30,0.333,17,21,0.81,S
CLE,2024-04-03,L,237,101,39,83,0.47,7,26,0.269,16,19,0.842,S
PHX,2024-04-03,W,238,122,44,87,0.506,18,33,0.545,16,17,0.941,S
CHA,2024-04-03,L,239,86,32,78,0.41,5,31,0.161,17,22,0.773,N
LAL,2024-04-03,W,239,125,46,91,0.505,8,28,0.286,25,29,0.862,S
IND,2024-04-03,L,240,111,46,103,0.447,10,38,0.263,9,11,0.818,S
ATL,2024-04-03,W,240,121,49,90,0.544,13,38,0.342,10,15,0.667,S
MEM,2024-04-03,W,240,111,46,91,0.505,7,23,0.304,12,17,0.706,S
ORL,2024-04-03,W,240,117,41,80,0.513,13,32,0.406,22,30,0.733,S
BKN,2024-04-03,W,240,115,42,87,0.483,12,32,0.375,19,27,0.704,S
MIL,2024-04-03,L,240,101,38,95,0.4,18,44,0.409,7,12,0.583,S
TOR,2024-04-03,L,241,85,33,90,0.367,7,30,0.233,12,14,0.857,N
